# SCOWL/ESDB 2020.12.07 American size 60
# Generated from english-words and american-words levels 10,20,35,40,50,55,60.
40	activation
60	activator
60	activators
10	active
20	actively
60	activeness
35	actives
40	activism
35	activist
35	activists
10	activities
10	activity
20	actor
20	actors
35	actress
35	actresses
10	acts
10	actual
35	actualities
35	actuality
40	actualization
50	actualize
50	actualized
50	actualizes
50	actualizing
10	actually
50	actuarial
50	actuaries
35	actuary
50	actuate
50	actuated
50	actuates
50	actuating
60	actuation
50	actuator
50	actuators
50	acuity
35	acumen
55	acupressure
35	acupuncture
50	acupuncturist
50	acupuncturists
20	acute
35	acutely
50	acuteness
35	acuter
35	acutes
35	acutest
60	acyclovir
60	acyl
35	ad
35	adage
35	adages
50	adagio
50	adagios
35	adamant
40	adamantly
20	adapt
50	adaptability
35	adaptable
20	adaptation
35	adaptations
20	adapted
20	adapter
40	adapters
20	adapting
55	adaption
55	adaptions
35	adaptive
20	adapts
10	add
60	addable
10	added
50	addend
50	addenda
50	addends
35	addendum
50	adder
50	adders
20	addict
20	addicted
20	addicting
35	addiction
35	addictions
20	addictive
20	addicts
10	adding
10	addition
10	additional
20	additionally
20	additions
35	additive
35	additives
50	addle
50	addled
50	addles
50	addling
10	address
50	addressable
10	addressed
35	addressee
35	addressees
10	addresses
10	addressing
10	adds
50	adduce
50	adduced
50	adduces
50	adducing
60	adenine
60	adenocarcinoma
50	adenoid
50	adenoidal
50	adenoids
35	adept
40	adeptly
50	adeptness
35	adepts
40	adequacy
10	adequate
20	adequately
60	adequateness
20	adhere
20	adhered
35	adherence
35	adherent
35	adherents
20	adheres
20	adhering
35	adhesion
35	adhesive
60	adhesiveness
35	adhesives
50	adiabatic
50	adieu
50	adieus
50	adipose
60	adjacency
20	adjacent
50	adjacently
40	adjectival
50	adjectivally
20	adjective
35	adjectives
35	adjoin
35	adjoined
35	adjoining
35	adjoins
35	adjourn
35	adjourned
35	adjourning
35	adjournment
35	adjournments
35	adjourns
50	adjudge
50	adjudged
50	adjudges
50	adjudging
40	adjudicate
40	adjudicated
40	adjudicates
40	adjudicating
50	adjudication
55	adjudications
60	adjudicative
40	adjudicator
40	adjudicators
60	adjudicatory
35	adjunct
35	adjuncts
50	adjuration
50	adjurations
50	adjure
50	adjured
50	adjures
50	adjuring
10	adjust
35	adjustable
20	adjusted
50	adjuster
50	adjusters
20	adjusting
20	adjustment
20	adjustments
20	adjusts
50	adjutant
50	adjutants
50	adman
